subject,condition,response,experiment,task,question,prompt,min,max
121,Active,5,exp01,posttask_survey,presence,How present did you feel during the game task?,"I felt like I was there in the room, not just on the screen.",I felt very detached from the game.
121,Active,0,exp01,posttask_survey,attention,How attentive did you feel to the game task?,I felt “in the zone.”,I felt unable to pay attention to the game.
121,Active,1,exp01,posttask_survey,enc_confidence,How well could you remember information during the game task?,I would easily remember what was happening in the game.,I would constantly forget what was happening in the game.
121,Active,4,exp01,posttask_survey,rec_confidence,How well could you recall information in the memory tests after the game task?,It felt easy to recall all the information prompted in the memory tests.,It felt impossible to recall any information prompted in the memory tests.
121,Active,1,exp01,posttask_survey,control,How in control did you feel during the game task?,I felt like I had full control over the game task.,I felt like I had no control over the game task.
121,Active,0,exp01,posttask_survey,randomness,How easily did you realize the correct item placements during the game task?,I felt like the correct placements “clicked” to me.,I felt like the correct placements were random matches.
121,Active,6,exp01,posttask_survey,enc_strategy,How did you identify the correct placements of the items during the game task?,I identified the correct placement of items relative to the placement of other items.,"I identified the correct placement of items individually, irrespective of the placement of other items."
121,Active,6,exp01,posttask_survey,rec_strategy,How did you recall the correct placements of the items in the memory tests after the game task?,I recalled the correct placement of items relative to the placement of other items.,"I recalled the correct placement of items individually, irrespective of the placement of other items."
121,Active,1,exp01,posttask_survey,perspective,Did you have a precise or holistic perspective of where the items belonged in the scene?,I viewed the objects specific to their precise location.,"I viewed all the objects as within the larger, holistic scene."
120,Active,3,exp01,posttask_survey,presence,How present did you feel during the game task?,"I felt like I was there in the room, not just on the screen.",I felt very detached from the game.
120,Active,3,exp01,posttask_survey,attention,How attentive did you feel to the game task?,I felt “in the zone.”,I felt unable to pay attention to the game.
120,Active,4,exp01,posttask_survey,enc_confidence,How well could you remember information during the game task?,I would easily remember what was happening in the game.,I would constantly forget what was happening in the game.
120,Active,3,exp01,posttask_survey,rec_confidence,How well could you recall information in the memory tests after the game task?,It felt easy to recall all the information prompted in the memory tests.,It felt impossible to recall any information prompted in the memory tests.
120,Active,3,exp01,posttask_survey,control,How in control did you feel during the game task?,I felt like I had full control over the game task.,I felt like I had no control over the game task.
120,Active,2,exp01,posttask_survey,randomness,How easily did you realize the correct item placements during the game task?,I felt like the correct placements “clicked” to me.,I felt like the correct placements were random matches.
120,Active,3,exp01,posttask_survey,enc_strategy,How did you identify the correct placements of the items during the game task?,I identified the correct placement of items relative to the placement of other items.,"I identified the correct placement of items individually, irrespective of the placement of other items."
120,Active,2,exp01,posttask_survey,rec_strategy,How did you recall the correct placements of the items in the memory tests after the game task?,I recalled the correct placement of items relative to the placement of other items.,"I recalled the correct placement of items individually, irrespective of the placement of other items."
120,Active,2,exp01,posttask_survey,perspective,Did you have a precise or holistic perspective of where the items belonged in the scene?,I viewed the objects specific to their precise location.,"I viewed all the objects as within the larger, holistic scene."
122,Active,1,exp01,posttask_survey,presence,How present did you feel during the game task?,"I felt like I was there in the room, not just on the screen.",I felt very detached from the game.
122,Active,2,exp01,posttask_survey,attention,How attentive did you feel to the game task?,I felt “in the zone.”,I felt unable to pay attention to the game.
122,Active,2,exp01,posttask_survey,enc_confidence,How well could you remember information during the game task?,I would easily remember what was happening in the game.,I would constantly forget what was happening in the game.
122,Active,4,exp01,posttask_survey,rec_confidence,How well could you recall information in the memory tests after the game task?,It felt easy to recall all the information prompted in the memory tests.,It felt impossible to recall any information prompted in the memory tests.
122,Active,,exp01,posttask_survey,control,How in control did you feel during the game task?,I felt like I had full control over the game task.,I felt like I had no control over the game task.
122,Active,3,exp01,posttask_survey,randomness,How easily did you realize the correct item placements during the game task?,I felt like the correct placements “clicked” to me.,I felt like the correct placements were random matches.
122,Active,3,exp01,posttask_survey,enc_strategy,How did you identify the correct placements of the items during the game task?,I identified the correct placement of items relative to the placement of other items.,"I identified the correct placement of items individually, irrespective of the placement of other items."
122,Active,5,exp01,posttask_survey,rec_strategy,How did you recall the correct placements of the items in the memory tests after the game task?,I recalled the correct placement of items relative to the placement of other items.,"I recalled the correct placement of items individually, irrespective of the placement of other items."
122,Active,6,exp01,posttask_survey,perspective,Did you have a precise or holistic perspective of where the items belonged in the scene?,I viewed the objects specific to their precise location.,"I viewed all the objects as within the larger, holistic scene."
123,Active,6,exp01,posttask_survey,presence,How present did you feel during the game task?,"I felt like I was there in the room, not just on the screen.",I felt very detached from the game.
123,Active,3,exp01,posttask_survey,attention,How attentive did you feel to the game task?,I felt “in the zone.”,I felt unable to pay attention to the game.
123,Active,2,exp01,posttask_survey,enc_confidence,How well could you remember information during the game task?,I would easily remember what was happening in the game.,I would constantly forget what was happening in the game.
123,Active,5,exp01,posttask_survey,rec_confidence,How well could you recall information in the memory tests after the game task?,It felt easy to recall all the information prompted in the memory tests.,It felt impossible to recall any information prompted in the memory tests.
123,Active,3,exp01,posttask_survey,control,How in control did you feel during the game task?,I felt like I had full control over the game task.,I felt like I had no control over the game task.
123,Active,6,exp01,posttask_survey,randomness,How easily did you realize the correct item placements during the game task?,I felt like the correct placements “clicked” to me.,I felt like the correct placements were random matches.
123,Active,6,exp01,posttask_survey,enc_strategy,How did you identify the correct placements of the items during the game task?,I identified the correct placement of items relative to the placement of other items.,"I identified the correct placement of items individually, irrespective of the placement of other items."
123,Active,1,exp01,posttask_survey,rec_strategy,How did you recall the correct placements of the items in the memory tests after the game task?,I recalled the correct placement of items relative to the placement of other items.,"I recalled the correct placement of items individually, irrespective of the placement of other items."
123,Active,3,exp01,posttask_survey,perspective,Did you have a precise or holistic perspective of where the items belonged in the scene?,I viewed the objects specific to their precise location.,"I viewed all the objects as within the larger, holistic scene."
124,Active,6,exp01,posttask_survey,presence,How present did you feel during the game task?,"I felt like I was there in the room, not just on the screen.",I felt very detached from the game.
124,Active,4,exp01,posttask_survey,attention,How attentive did you feel to the game task?,I felt “in the zone.”,I felt unable to pay attention to the game.
124,Active,6,exp01,posttask_survey,enc_confidence,How well could you remember information during the game task?,I would easily remember what was happening in the game.,I would constantly forget what was happening in the game.
