subject,experiment,task,condition,item,recall,original_description,semantic_similarity
121,exp01,recall,Active,mailbox,can instantly receive letters from anywhere,This item can receive mail from anywhere instantaneously.,0.55735373
121,exp01,recall,Active,feather,can tickle any animal,This item can be used to tickle any animal.,0.7994819
121,exp01,recall,Active,rubikscube,scrambles up when you try to solve it,This item scrambles itself if you try to solve it.,0.7111926
121,exp01,recall,Active,trumpet,can only play one note,This item can only play one note.,0.7804624
121,exp01,recall,Active,hanger,shows up with any cloth you want to wear,This item instantly appears with the outfit of your choice.,0.42520875
121,exp01,recall,Active,straightener,gets colder the longer you turn it on for,This item gets colder the longer its left on.,0.6777939
121,exp01,recall,Active,seashell,can be used to listen to street sounds,This item can be used to hear city streets.,0.53776026
121,exp01,recall,Active,cactus,contains tea in its arms,This item can contains tea within its arms.,0.7443174
121,exp01,recall,Active,microscope,is used to physically magnify things,This item physically enlarges any object it focuses on.,0.44600475
121,exp01,recall,Active,ladle,cannot hold liquid,This item cannot hold any liquid.,0.69301903
121,exp01,recall,Active,dogbowl,automatically fills up,This item fills up by itself.,0.3883425
121,exp01,recall,Active,jug,can never be emptied,"This item never empties, no matter how much you pour out of it.",0.3578357
121,exp01,recall,Active,starfish,"can make any wish come true, but only one wish","This item can be used to wish for anything, but only once.",0.5700592
121,exp01,recall,Active,hairclip,holds onto anything but hair,This item can grasp everything except hair.,0.5672921
121,exp01,recall,Active,racquet,it swings itself,"This item swings on its own, without human intervention.",0.38749143
121,exp01,recall,Active,gavel,can only be held by kids,This item can only be held by children.,0.64127
121,exp01,recall,Active,applecore,makes anyone who takes a bite turn invisible,"This item grows into any tree desired, if tossed.",0.13446438
121,exp01,recall,Active,skates,skates on anything but ice,This item can skate on any surface except ice.,0.57988304
121,exp01,recall,Active,mortarpestle,breaks anything with one crush,This item crushes anything with a single tap.,0.5023527
121,exp01,recall,Active,piggybank,"is full when it is not broken, becomes empty once it is broken","This item is full until you break it, then it becomes empty.",0.6255535
