subject,condition,room,recall,original_description,semantic_similarity,task,experiment
103,Passive,Arcade,a room where there no games,"In this room, there is a leaderboard that updates everyday.",0.22486164,recall,exp02
103,Active,Laundry Room,a room where laundry gets done by itself but not in a specific order\n,"In this room, the clothes get washed, dried, and folded on their own, but not always in that order.",0.48593363,recall,exp02
103,Passive,Theater,no lights,"In this room, a movie plays automatically and you cannot choose it.",0.014870746,recall,exp02
103,Active,Swimming Pool,water stays still not matter what,"In this room, the water remains still, no matter how much you splash around in it.",0.52000546,recall,exp02
103,Active,Bedroom,light hits your eyes,"In this room, the sun always hits your eyes in the morning.",0.49814284,recall,exp02
103,Passive,Library,not sure,"In this room, the books are always in the wrong order.",-0.06230838,recall,exp02
103,Passive,Zen Room,no relaxation,"In this room, no sound can enter the walls.",0.2017074,recall,exp02
103,Passive,Server Room,no electricity,"In this room, everything shuts down when you try to fix something.",0.034820355,recall,exp02
103,Passive,Greenhouse,not sure,"In this room, the plants swap places every day.",-0.073040746,recall,exp02
103,Passive,Dining Room,not sure,"In this room, the food on the table gets cold, but the drinks get hot.",0.02107329,recall,exp02
103,Passive,Closet,not sure,"In this room, clothes keep piling onto the floor, even when you hang them up.",-0.060061168,recall,exp02
103,Passive,Garage,gets loud,"In this room, the walls will expand to fit any amount of cars.",0.1552855,recall,exp02
103,Active,Art Studio,anything but art,"In this room, the art supplies keep changing color every day.",0.2208707,recall,exp02
103,Active,Cellar,not sure,"In this room, the bottles are all filled with water.",-0.09599157,recall,exp02
103,Active,Planetarium,see constellations of other galaxies,"In this room, you can see the constellations from different planets.",0.5591011,recall,exp02
103,Active,Laboratory,not sure,"In this room, all lab tests come back with positive results.",-0.036586408,recall,exp02
103,Active,Rooftop,can illuminate,"In this room, the solar panels light up at night.",0.22294769,recall,exp02
103,Passive,Bathroom,not sure,"In this room, when you turn on the water, all the faucets turn on.",-0.14619946,recall,exp02
103,Passive,Patio,not sure,"In this room, no bugs can leave, but they can enter freely.",-0.016481321,recall,exp02
103,Passive,Observatory,not sure,"In this room, the telescope only works on a cloudy night.",-0.010949649,recall,exp02
103,Active,Bowling Alley,the balls roll back,"In this room, the bowling balls always roll back to the starting point.",0.4196639,recall,exp02
103,Active,Aquarium,fish active with no lights,"In this room, the fish only come out when the lights are off.",0.49382183,recall,exp02
103,Active,Attic,boxes dont move,"In this room, the boxes are stuck to the floor and cannot be moved.",0.51127946,recall,exp02
103,Active,Gym,not sure,"In this room, the weights get heavier every day, regardless of whether you use them or not.",0.058766905,recall,exp02
109,Active,Cellar,All the bottles are filled with water,"In this room, the bottles are all filled with water.",0.8027106,recall,exp02
109,Active,Gym,It is not a place for exercise\n,"In this room, the weights get heavier every day, regardless of whether you use them or not.",-0.021476202,recall,exp02
109,Active,Laboratory,No discoveries are made here,"In this room, all lab tests come back with positive results.",0.18258947,recall,exp02
109,Active,Swimming Pool,No swimming happens here,"In this room, the water remains still, no matter how much you splash around in it.",0.38866127,recall,exp02
109,Active,Planetarium,You can't see the sky here,"In this room, you can see the constellations from different planets.",0.3225749,recall,exp02
109,Passive,Patio,Nop relaxing is done here,"In this room, no bugs can leave, but they can enter freely.",0.2456875,recall,exp02
109,Active,Art Studio,The art supplies are constantly changing color,"In this room, the art supplies keep changing color every day.",0.6340953,recall,exp02
109,Passive,Theater,Films are not watched here,"In this room, a movie plays automatically and you cannot choose it.",0.30466515,recall,exp02
109,Passive,Library,No books are read here,"In this room, the books are always in the wrong order.",0.45866182,recall,exp02
109,Active,Bowling Alley,No bowling happens here,"In this room, the bowling balls always roll back to the starting point.",0.5237882,recall,exp02
109,Passive,Dining Room,Food is not eaten here,"In this room, the food on the table gets cold, but the drinks get hot.",0.2972877,recall,exp02
109,Passive,Server Room,No information is stored here,"In this room, everything shuts down when you try to fix something.",-0.016163092,recall,exp02
109,Active,Attic,Nothing is stored here,"In this room, the boxes are stuck to the floor and cannot be moved.",0.28547645,recall,exp02
109,Passive,Greenhouse,It is always cold here,"In this room, the plants swap places every day.",0.1882197,recall,exp02
109,Passive,Closet,Used exclusively for getting naked.,"In this room, clothes keep piling onto the floor, even when you hang them up.",0.2637725,recall,exp02
109,Active,Bedroom,"No sleep here, only pillow fights","In this room, the sun always hits your eyes in the morning.",0.25358617,recall,exp02
109,Active,Laundry Room,Used to  make clothes dirtier,"In this room, the clothes get washed, dried, and folded on their own, but not always in that order.",0.32583067,recall,exp02
109,Passive,Arcade,No games are played here\n,"In this room, there is a leaderboard that updates everyday.",0.06344053,recall,exp02
109,Active,Aquarium,The fish only come out when the lights are  off,"In this room, the fish only come out when the lights are off.",0.88285136,recall,exp02
109,Passive,Zen Room,Is not used for meditation,"In this room, no sound can enter the walls.",0.10288192,recall,exp02
109,Passive,Garage,Expands to hold any number of  cars,"In this room, the walls will expand to fit any amount of cars.",0.4575801,recall,exp02
109,Passive,Observatory,Only works on cloudy nights,"In this room, the telescope only works on a cloudy night.",0.5616735,recall,exp02
109,Passive,Bathroom,Used for getting dirtier,"In this room, when you turn on the water, all the faucets turn on.",0.13853875,recall,exp02
