subject,condition,experiment,task,item,item_category,recall,original_description,semantic_similarity
103,Active,exp02,recall,postcard,lure,ariving where its sent,This item automatically sends itself to the posted location.,0.24531992
103,Passive,exp02,recall,mailbox,target,not sure,This item can receive mail from anywhere instantaneously.,-0.05041683
103,Active,exp02,recall,camcorder,target,not sure,This item has unlimited memory capacity.,0.009812444
103,Passive,exp02,recall,paperairplane,target,can only go one durection,This item can fly to anywhere if you toss it.,0.22702822
103,Active,exp02,recall,ladle,lure,cant hold liquid,This item cannot hold any liquid.,0.6602147
103,Active,exp02,recall,binoculars,target,can see through items,This item can be used to see through any object.,0.62534165
103,Passive,exp02,recall,walkietalkie,lure,not sure,This item has an unlimited range.,-0.019503485
103,Active,exp02,recall,frame,lure,can only see black and white,This item can only be used for black and white photographs.,0.47496307
103,Active,exp02,recall,cactus,target,holds water,This item contains tea within its arms.,0.16944538
103,Passive,exp02,recall,mallet,lure,not sure,This item fixes anything you hit with it.,0.005083751
103,Passive,exp02,recall,gavel,target,held by kids,This item can only be held by children.,0.31267485
103,Active,exp02,recall,cereal,lure,not sure,This item makes you fall asleep if eaten.,-0.028710037
103,Active,exp02,recall,piggybank,target,holds money but empty once broken,"This item is full until you break it, then it becomes empty.",0.5218046
103,Active,exp02,recall,bikepump,lure,can deflate,This item can only be used to deflate tires.,0.45392573
103,Active,exp02,recall,violin,lure,sound like trumpet,This item sounds like a trumpet when played.,0.6945627
103,Passive,exp02,recall,starfish,lure,not sure,"This item can be used to wish for anything, but only once.",-0.05815752
103,Active,exp02,recall,broom,target,can create dust,This item collects more dust the more you sweep with it.,0.3662761
103,Passive,exp02,recall,shoppingcart,lure,hold only one item,This item can move without being pushed.,0.20351905
103,Passive,exp02,recall,straightener,target,make curly,This item gets colder the longer it is left on.,-0.10636296
103,Passive,exp02,recall,cinnamonroll,target,not sure,"This item tastes like carrots, not cinnamon.",0.001456956
103,Passive,exp02,recall,landline,lure,can only send voicemail,"This item can reach any number, but cannot be answered.",0.31972045
103,Active,exp02,recall,trumpet,lure,not sure,This item can only play one note.,-0.009606406
103,Passive,exp02,recall,toiletpaper,lure,can give dirt,This item cannot be torn.,0.16735046
103,Active,exp02,recall,skates,target,can be used on anything but ice,This item can skate on any surface except ice.,0.5761399
103,Passive,exp02,recall,rubikscube,target,insolvable,This item scrambles itself if you try to solve it.,0.053087734
103,Active,exp02,recall,fishbowl,target,can never spill,"This item cannot spill water, no matter how much you shake it.",0.4911046
103,Active,exp02,recall,dartboard,target,attracts darts,This item attracts darts that are thrown at it.,0.7100208
103,Active,exp02,recall,hairclip,lure,can hold one thing,This item can grasp everything except hair.,0.2779438
103,Passive,exp02,recall,curler,lure,not sure,This item can only curl hair that is already curly.,0.013419125
103,Passive,exp02,recall,measuringspoon,target,can spill,This item changes size as you fill it up.,0.0374538
103,Active,exp02,recall,wateringcan,lure,be used to get water,This item soaks up water from plants.,0.38207883
103,Passive,exp02,recall,pear,lure,not sure,This item grants invisibility to anyone who bites it.,0.03978172
103,Passive,exp02,recall,pretzel,target,not sure,This item unknots and ties itself back together.,-0.08066991
103,Active,exp02,recall,cooler,target,keeps one item cool,This item holds everything below freezing temperature.,0.27278292
103,Passive,exp02,recall,discoball,target,spins when you dance,This item only spins if you dance.,0.7532321
103,Passive,exp02,recall,coffeefilter,lure,hold only liquids,This item can be used to brew any liquid into coffee.,0.18480355
109,Active,exp02,recall,alarmclock,target,It goes off after you wake,This item only goes off after you wake up.,0.5970213
109,Active,exp02,recall,trumpet,lure,It only plays one note,This item can only play one note.,0.7062303
109,Passive,exp02,recall,measuringspoon,target,It doesn't measure ,This item changes size as you fill it up.,0.20033208
109,Active,exp02,recall,laptop,target,It only works in rooms with no internet,This item works only in areas without internet connection.,0.5724468
109,Passive,exp02,recall,paperairplane,target,It flies in the opposite direction from where it is thrown.,This item can fly to anywhere if you toss it.,0.43437093
109,Active,exp02,recall,hairclip,lure,It doesn't hold hair,This item can grasp everything except hair.,0.53296494
109,Active,exp02,recall,headphones,lure,It extracts sounds,This item inverts all sounds when worn.,0.27090228
109,Active,exp02,recall,ladle,lure,It doesn't hold liquids,This item cannot hold any liquid.,0.64942735
109,Active,exp02,recall,exitsign,target,It shows you the furthest exit,This item points towards the farthest exit.,0.63386995
109,Active,exp02,recall,grater,lure,It makes food items whole,This item can be used to turn shredded food into whole food.,0.4761758
109,Active,exp02,recall,mortarpestle,lure,It pulverizes with one strike.,This item crushes anything with a single tap.,0.25266632
109,Passive,exp02,recall,iron,lure,It makes smooth fabrics wrinkly,This item can wrinkle any fabric.,0.488459
109,Passive,exp02,recall,shoppingcart,lure,It doesn't carry groceries.,This item can move without being pushed.,0.29827327
109,Passive,exp02,recall,applecore,target,It does not keep the doctor away,"This item grows into any tree desired, if tossed.",0.046236314
109,Active,exp02,recall,jug,target,It doesn't pour water,"This item never empties, no matter how much you pour out of it.",0.26222473
109,Passive,exp02,recall,mailbox,target,It sends mail away,This item can receive mail from anywhere instantaneously.,0.45645827
109,Active,exp02,recall,postcard,lure,It ships itself to the place on the postmark,This item automatically sends itself to the posted location.,0.29325682
109,Passive,exp02,recall,pretzel,target,It is not consumed,This item unknots and ties itself back together.,0.06972279
109,Active,exp02,recall,recorder,lure,It only plays one note,This item can only play the note D.,0.65779775
109,Passive,exp02,recall,bowlingball,lure,It rolls in the opposite direction,This item weighs whatever weight you choose it to weigh.,0.073106885
109,Passive,exp02,recall,cake,target,It is not eaten,This item turns into any flavor you want when you cut it.,0.09589873
109,Active,exp02,recall,bikepump,lure,It deflates,This item can only be used to deflate tires.,0.21803612
109,Passive,exp02,recall,microscope,target,It makes things appear bigger,This item physically enlarges any object it focuses on.,0.340222
109,Passive,exp02,recall,hanger,lure,Everything placed on it falls to the ground.,This item instantly appears with the outfit of your choice.,0.04032615
109,Active,exp02,recall,donut,target,It is not sweet,This item disappears if you try to eat it.,0.12202726
109,Passive,exp02,recall,landline,lure,It is used as a paper weight,"This item can reach any number, but cannot be answered.",0.13845816
109,Passive,exp02,recall,gramophone,target,It pulls  sound out of the air,This item plays music backwards.,0.2690909
109,Active,exp02,recall,skates,target,Can skate on any surface but ice.,This item can skate on any surface except ice.,0.85899115
109,Active,exp02,recall,broom,target,Creates more dust  the more it sweeps,This item collects more dust the more you sweep with it.,0.6795805
109,Passive,exp02,recall,coffeefilter,lure,Makes coffee dirtier,This item can be used to brew any liquid into coffee.,0.41175902
109,Active,exp02,recall,piggybank,target,Doesn't hold coins,"This item is full until you break it, then it becomes empty.",0.22781272
109,Passive,exp02,recall,rubikscube,target,Can't be solved,This item scrambles itself if you try to solve it.,0.24307016
